id,model,disease,property,question,ground_truth,llm_answer
153,tinyllama,Fabry Disease,hasDeficientEnzyme,Which enzyme is deficient in Fabry Disease?,Alpha-Galactosidase A,"Certainly! The Fabry disease is an inherited form of gallstones called alpha-galactosidase A deficiency, also known as GM1 gangliosidosis. The enzyme responsible for producing a specific type of glycolipid that is essential for bile production in the liver is involved in Fabry disease. Specifically, the enzyme is deficient in Fabry patients due to mutations in the alpha-galactosidase A gene, which produces an abnormal version of this enzyme."
154,tinyllama,Fabry Disease,hasSymptom,What symptoms are associated with Fabry Disease?,Angiokeratoma; Neuropathic Pain; Renal Failure,"Fabry Disease is a rare genetic disorder caused by the absence of an enzyme called alpha-galactosidase A (GAA), which is essential for breaking down fats and proteins in cells. The lack of this enzyme leads to the accumulation of free fatty acids in the bloodstream, leading to symptoms that vary depending on the severity of the disease. Here are some common symptoms:

1. Weight Loss: Patients with Fabry Disease may lose a significant amount of weight due to the accumulation of fat in their tissues and organs.

2. Cardiac Symptoms: Some patients with Fabry Disease experience heart failure due to the buildup of fluid in the lungs, leading to chest pain, shortness of breath, and difficulty breathing.

3. Hearing Loss: In some patients, hearing loss may occur due to the accumulation of fluid in the ear, causing tinnitus or hearing loss.

4. Kidney Failure: Some patients with Fabry Disease have kidney damage due to the buildup of urates (uric acid) in their bodies, leading to renal failure.

5. Severe Joint Pain: Patients with Fabry Disease experience joint pain due to inflammation and tissue breakdown, which can lead to arthritis or osteoarthritis.

6. Nerve Damage: Some patients with Fabry Disease may experience nerve damage due to the buildup of free fatty acids in their nerves, leading to peripheral neuropathy (nerve damage that affects the hands and feet).

7. Blood Clots: Blood clots can form in the lung or other organs due to the accumulation of fats in blood vessels. This can lead to an increased risk of stroke or heart attack, especially if untreated."
155,tinyllama,Fabry Disease,accumulatesMetabolite,Which metabolite accumulates in Fabry Disease?,Globotriaosylceramide,"The metabolite of Fabry disease is not specific to any one molecule or mechanism involved in the disorder, and therefore it does not accumulate in the Fabry Disease. The accumulation of various substances within cells and organs of affected individuals with Fabry Disease has been observed, but these substances do not consist solely of the metabolite. It is not clear what any particular molecule or mechanism involved in Fabry disease could specifically accumulate in."
156,tinyllama,Fabry Disease,hasCausativeGene,Which gene causes Fabry Disease?,GLA,"Fabry disease, also known as hereditary angioedema (HAE), is caused by mutations in the Fabry gene, which is located on the Xq26.2 chromosome. The Fabry gene produces a protein called alpha-galactosidase A, which contributes to the inflammation and swelling that occur in HAE. In people with Fabry disease, the production of this protein becomes abnormal or disrupted, leading to a buildup of fluid and waste products in various organs, including the lungs, liver, kidneys, and brain."
157,tinyllama,Gaucher Disease,hasInheritancePattern,What is the inheritance pattern of Gaucher Disease?,Autosomal Recessive,"Gauche r Disease (GCD) is a parasitic disease caused by Taenia solium, which is one of the most common and prevalent parasites worldwide. The disease has an inheritance pattern that involves two main classes of genes: the ""host"" gene (Rh1) and the ""parasite"" gene (Ak).

GCD's host gene (Rh1) is inherited in an autosomal recessive manner, which means that for individuals with a heterozygous form of the gene (i.e., having two copies of Rh1), one copy of the gene must be present to exhibit symptoms of disease. The parasite gene (Ak) is inherited in an X-linked dominant fashion. Therefore, males are at higher risk for acquiring the pathogen since their parents carry the disease gene.

GCD is caused by exposure to Taenia solium tapeworm eggs through contaminated food or water sources, often during childhood. Symptoms of GCD may not appear until many years after exposure and can be mistaken for other common infectious diseases such as malaria or typhoid fever.

The inheritance pattern of the disease is important in determining its prevalence, severity, and treatment options. Understanding this pattern can help healthcare providers develop effective prevention strategies and treatments to minimize the impact of GCD on affected individuals."
158,tinyllama,Gaucher Disease,treatedWith,How is Gaucher Disease treated?,Enzyme Replacement Therapy,"Gaucher Disease (also known as GCD) is an autoimmune disorder caused by genetic mutations that impair the immune system's ability to detect and eliminate certain types of cancer cells. Treatment options for Ga Chair Disease can vary depending on the severity of the disease, but generally involve a combination of lifestyle changes (such as maintaining a healthy diet, exercise regularly, and avoiding smoking), medication (both over-the-counter and prescription), and immune system-boosting supplements like vitamins A, C, D, and E. Some drugs have been shown to help improve symptoms and slow the progression of Ga Chair Disease, but there is currently no cure for this condition."
159,tinyllama,Gaucher Disease,hasDeficientEnzyme,Which enzyme is deficient in Gaucher Disease?,Beta-Glucocerebrosidase,"Gaiche disease, also known as Gachhi disease or Hindi disease, is caused by the lack of a specific enzyme called zinc carboxylate phosphatase (ZCP). ZIP is essential for many cellular processes, including cell division, growth, and development. Gaiche disease is characterized by a variety of developmental defects, including intellectual disability, reduced body mass index, microcephaly, small head size, delayed puberty, and neurodevelopmental problems such as autism spectrum disorder, Down syndrome, and Fragile X syndrome. In severe cases, patients may suffer from seizures, coma, or death due to respiratory failure."
160,tinyllama,Gaucher Disease,hasSymptom,What symptoms are associated with Gaucher Disease?,Bone Crises; Hepatosplenomegaly,"Gauche r Disease is an acute febrile illness caused by the bacterium Bacillus subtilis and is characterized by fever, headache, myalgia (muscle pain), abdominal pain, nausea, vomiting, and sometimes diarrhea. Some of the symptoms associated with Gauche r Disease include:

1. Fever (>38°C)
2. Headache
3. Myalgia (muscle pain)
4. Abdominal pain
5. Nausea and/or vomiting
6. Diarrhea
7. Fatigue and weakness
8. Cough or shortness of breath 

Gauche r Disease is a rare and acute febrile illness caused by the bacterium Bacillus subtilis. It typically presents as fever, headache, myalgia (muscle pain), abdominal pain, nausea, vomiting, and sometimes diarrhea. The symptoms can vary depending on the severity of infection, but patients are generally hospitalized for treatment. Antibiotics may be administered to treat the infection, which is usually resolves within a few days."
161,tinyllama,Gaucher Disease,accumulatesMetabolite,Which metabolite accumulates in Gaucher Disease?,Glucocerebroside,"The metabolite that accumulates in Gauncher Disae (Gaoucher Disease) is not specified in the given text. The text only mentions that it was mentioned as a symptom of this disease, which is not explicitly stated to be one of the possible causes or effects of Gauncher Disease."
162,tinyllama,Gaucher Disease,hasCausativeGene,Which gene causes Gaucher Disease?,GBA,"Gaichte disease (also called Gaître's disease or Gaucher disease) is caused by mutations in the GLX gene, which encodes glucocerebrosidase. There are two types of Gaichte disease, including classic and variant forms. The classic form involves a triad of symptoms, including severe and progressive muscle weakness, hepatomegaly (enlargement of the liver), and bone marrow failure. The variant form is much less common and usually has fewer symptoms or no apparent abnormalities."
163,tinyllama,Pompe Disease,hasInheritancePattern,What is the inheritance pattern of Pompe Disease?,Autosomal Recessive,"Pompe disease (PPO) is an inherited disorder that causes progressive muscle wasting and atrophy in animals, particularly pigs. The inheritance pattern of Pompe disease is autosomal recessive, meaning that one copy of the gene for Pompe disease must be defective to pass on the trait to offspring.

In humans, there are two forms of Pompe disease: Pompe I and Pompe II. Pompe I is characterized by progressive muscle wasting in young animals, which typically begins before 2 years of age. The cause of Pompe I is unknown, but several genes have been identified that are suspected to play a role. Pompe II is more common in older adults and has a different onset pattern than Pompe I. It usually appears around 3-4 years old, and the signs and symptoms can be much more severe than those of Pompe I.

Pompe disease is often caused by a mutation in one of two genes: POMT1 (also known as SGCD) or POMT2 (also known as GAA). Mutations in these genes disrupt the proper formation and transport of ubiquitinated aggregates, which accumulate in muscle cells. These aggregates cause the proteins that normally bind to them (ubiquitinated proteins) to become misfolded, leading to their degradation by the proteasome. As a result, proteins that normally help transport and deliver these ubiquitinated proteins into the mitochondria, where they can be used for energy production, are unable to do so properly, resulting in muscle wasting and atrophy.

Although Pompe disease is rare in humans, it has been found in some species of animals, such as pigs and cows. In these animals, the inheritance pattern of Pompe disease is autosomal dominant, meaning that one copy of the faulty gene must be present for the trait to occur. Animals with one healthy copy of the faulty gene have a 50% chance of passing on the mutation to their offspring. Animals with two copies of the faulty gene (a recessive mutation) will usually have no offspring, since they would be unable to pass along the mutation to their progeny. However, if a dominant mutation occurs in only one copy of the gene, it is possible for two animals to inherit the disease from one another.

In summary, Pompe disease results from a mutation in one of two genes: POMT1 (also known as SGCD) or POMT2 (also known as GAA). The inheritance pattern of Pompe disease is autosomal dominant, meaning that one copy of the faulty gene must be present for the trait to occur. In animals with only one healthy copy of the faulty gene, there is a 50% chance of passing on the mutation to offspring, and animals with two copies of the faulty gene will usually have no offspring. However, if a dominant mutation occurs in only one copy of the gene, it can be passed on to offspring from both parents, leading to inheritance patterns that are similar to those seen in humans."
164,tinyllama,Pompe Disease,treatedWith,How is Pompe Disease treated?,Enzyme Replacement Therapy,"Pompe diseaase, also known as hereditary neuroaxonal dystrophy (HNAD) or Pompe disease, is a rare genetic disorder caused by mutations in the mitochondrial gene MTMR2 or MTMR1. Treatment options for Pompe disease depend on the severity and types of symptoms present. In some cases, patients may require medical intervention to control complications such as muscle weakness, fatigue, and breathing problems. There is currently no cure for Pompe disease, but researchers are working on developing therapies that could slow or halt the progression of the disease in affected individuals."
165,tinyllama,Pompe Disease,hasDeficientEnzyme,Which enzyme is deficient in Pompe Disease?,Acid Alpha-Glucosidase,"Amyotrophic Lateral Sclerosis (ALS), also known as Pompe Disease, is a progressive and terminal disease caused by the accumulation of lactic acid in muscle cells. The specific enzyme deficience associated with Pompe Disease is known as alpha-KGDH or alpha-ketoglutarate dehydrogenase (NADP+-dependent) hydrolysis. This enzyme plays an essential role in the breakdown of lactic acid in cells, causing muscle weakness and eventually death."
166,tinyllama,Pompe Disease,hasSymptom,What symptoms are associated with Pompe Disease?,Cardiomyopathy; Muscle Weakness,"Pompe Diseaase, also known as adult-onset form of Lysosomal Storage Diseases (LSDs), is a type of lysosomal storage disease that mainly affects the nervous system and kidneys. Some symptoms associated with Pompe Diseaase include:

1. Severe muscle weakness, particularly in the legs
2. Short stature or stunted growth
3. Seizures
4. Development of spinal cord abnormalities, such as herniation or compression
5. Kidney failure
6. Cardiomyopathy (heart problems)
7. Glycogen storage disorder, causing excessive glycogen accumulation in the liver and kidneys
8. Increased risk of developing other lysosomal storage diseases, such as Pompe Disease or Mitochondrial Disorders
9. Improper regulation of growth and development, leading to abnormal developmental defects or developmental delays in children with Pompe Diseaase
10. Early death due to kidney failure or cardiomyopathy, as the disease progresses over time."
167,tinyllama,Pompe Disease,accumulatesMetabolite,Which metabolite accumulates in Pompe Disease?,Glycogen,"The metabolite that accumulates in Pompe disease is called N-acetylaspartate (NAA). This type of AMPA receptor antibody, which binds to the extracellular domain of the N-terminal domain of alpha subunit of GABAA receptors, acts as a neurotransmitter in the brain and is believed to play an important role in the pathogenesis of Pompe disease. The accumulation of this molecule can cause neuron death and inflammation in affected cells, leading to damage and degeneration of neurons and muscle fibers."
168,tinyllama,Pompe Disease,hasCausativeGene,Which gene causes Pompe Disease?,GAA,"Pompe disease, also known as Pompe's disease or acid lipid storage disorders (ALSD), is caused by mutations in the ATP7A gene. This gene is located on chromosome 16 and codes for an enzyme that breaks down fatty acids in the mitochondria of cells, which are responsible for producing energy in our cells. When this enzyme is mutated or dysfunctional, it leads to accumulation of a type of fat molecule called lactate in the cells, leading to a progressive and irreversible loss of muscle and other tissues over time. This can eventually lead to death due to impaired nutrient absorption and circulation, among other complications."
169,tinyllama,Niemann-Pick Disease Type A,hasInheritancePattern,What is the inheritance pattern of Niemann-Pick Disease Type A?,Autosomal Recessive,"Niemann-Pike Disease Type A (NPDA) is an inherited disorder in which there is a mutation in the ABCD1 gene, which leads to abnormal accumulation of phospholipid molecules called ""phytochelin"" on the inner leaflet of the mitochondrial outer membrane. This accumulation can cause the production of toxic substances within the cell, leading to cell death and eventual apoptosis (programmed cell death). 

The inheritance pattern for NPDA is autosomal dominant, which means that one copy of the mutated gene is sufficient to produce a defective allele. In other words, individuals with an NPDA gene mutation have a 50% chance of passing it on to their children.

This condition may present as:
- Failure of apoptosis in cells
- Increased susceptibility to oxidative stress and free radicals
- Abnormal accumulation of phospholipids in the mitochondrial outer membrane
- Reduced functioning of mitochondria"
170,tinyllama,Niemann-Pick Disease Type A,treatedWith,How is Niemann-Pick Disease Type A treated?,Supportive Care,"Niemann-Picke Disease (also known as Niemann-Pick disease type A) is a rare genetic disorder that affects the nerve cells in the brain and spinal cord. It can cause abnormalities in the cells' transportation of cholesterol, resulting in inflammation and eventually leading to cell death. Treatment options for Niemann-Pike Disease Type A are limited. The most common treatment is a drug called lenvatinib, which helps to reduce inflammation and improve the cellular function of affected cells. In more severe cases, surgery may be required to remove affected nerve cells or replace them with healthy ones. It's important to seek medical attention for any signs or symptoms related to Niemann-Pike Disease Type A."
171,tinyllama,Niemann-Pick Disease Type A,hasDeficientEnzyme,Which enzyme is deficient in Niemann-Pick Disease Type A?,Acid Sphingomyelinase,"Niemann-Pikey (NiP) disease is an autosomal recessive disorder caused by mutations in either NRG1 or GABBA genes. NRG1 encodes a receptor protein that interacts with membrane lipids such as phosphatidylinositol 3-phosphate (PIP3) to mediate its actions, including regulation of calcium signalling and transport in the endoplasmic reticulum. GABBA encodes an enzyme that degrades sphingomyelin, a lipid product of membrane lipids. Mutations in either NRG1 or GABBA cause Niemann-Pike Disease Type A (NPD1A), which is characterised by increased phospholipid accumulation and abnormal cellular dynamics, leading to organomegaly, malformations of the cerebellum and spine, reduced muscle development, and impaired motor function."
172,tinyllama,Niemann-Pick Disease Type A,hasSymptom,What symptoms are associated with Niemann-Pick Disease Type A?,Hepatosplenomegaly; Progressive Neurodegeneration,"Niemann-Pick (Type A) Disposition is an autosomal recessive disorder caused by mutations in the NPDC gene, which encodes a type I transmembrane protein called Niemann- Pick C1. The disease causes intracranial malformations (e.g., hydrocephalus), as well as severe behavioral and emotional disturbances, seizures, developmental delay, and a high risk of premature death due to respiratory problems and poor growth.

Common symptoms include:
- Severe intellectual disability and developmental delays at birth or infancy
- Difficulty coordinating movements in the face of overwhelming emotions such as rage, aggression, and impulsivity
- Seizures with generalized tonic-clonic seizures and/or myoclonic seizures that can strike multiple times per day or week
- Slowed growth and/or poor weight gain in early childhood, possibly due to respiratory problems
- Sleep disturbances, behavioral difficulties, and decreased social skills
- Rarely, recurrent infections and/or complications from medical procedures or surgeries (e.g., lung surgery, neurological surgery)

Additional symptoms may include:
- Developmental regression
- Severe anxiety and/or depression
- Poor social skills and low self-esteem
- Abnormal facial features (e.g., small ears, large nose, bulky forehead, thin jawline)
- Obesity or hypertrichosis

Congenital malformations may include:
- Bilateral hydrocephalus
- Microcephaly (small head size)
- Congenital cardiac defects such as atrial septal defect, patent ductus arteriosis, or ventricular septal defect
- Craniofacial abnormalities including skull and face deformities, jaws that are too large or too small (macrognathism), and/or facial asymmetries

In the later stages of life, patients may experience severe neurological symptoms such as:
- Seizures
- Memory loss
- Difficulty walking or standing
- Muscle weakness and atrophy"
173,tinyllama,Niemann-Pick Disease Type A,accumulatesMetabolite,Which metabolite accumulates in Niemann-Pick Disease Type A?,Sphingomyelin,"The metabolite that accumulates in Niemann-Pick Disease Type A is called nivalenol. It is a non-toxic and safe antibody against Niemann-Pick C1 inhibitor (NPC1I), which is a protein involved in the degeneration of neurons in this disease. It has no known toxicity, is harmless, and does not cause any adverse side effects."
174,tinyllama,Niemann-Pick Disease Type A,hasCausativeGene,Which gene causes Niemann-Pick Disease Type A?,SMPD1,"Niemann-Picy Disease Type A is caused by mutations in the NPAM1 gene. This gene codes for a protein called Niemann-pick C (NPC), which is part of a complex that helps transport phospholipids (fats) between cells, particularly in the brain. Mutations in this gene can lead to the abnormal accumulation and accumulation of sphingomyelin in cells, leading to various neurological symptoms including seizures, movement disorders, and cognitive impairments."
175,tinyllama,Tay-Sachs Disease,hasInheritancePattern,What is the inheritance pattern of Tay-Sachs Disease?,Autosomal Recessive,"Taye-Saches Disease, also known as ""Taya's Disease,"" is not inherited by default but requires an inheritance pattern. Here are the steps to inherit this disease:

1. The disease must be transmitted from a family member who has Taya's Disease.
2. The offspring of the family member with Taya's Disease will also have the disease, unless they receive a vaccine or treatment.
3. Only an affected parent can pass on the disease to their children.
4. Inheritance is not automatic but requires specific circumstances for the transmission to occur.

In general, individuals with Taya's Disease are more likely to get sick and have symptoms if they are exposed to someone else with the disease than if they themselves contract the disease. This is because exposure to an infected individual can trigger an immune response in their body that leads to the development of Taya's Disease in their own cells."
176,tinyllama,Tay-Sachs Disease,treatedWith,How is Tay-Sachs Disease treated?,Supportive Care,"Taye Saa's Disea (also known as Tay-Saa's Disease) is an acute and severe skin disease that primarily affects the face, neck, and hands. The symptoms of Taey-Saa's Disea include redness, itching, and flaking skin, which worsen over time. The main causes of Tay-Saa's Disease are infected cuts or scratches, exposure to harsh sunlight or tanning beds, and prolonged use of makeup or hair dyes containing formaldehyde. Treatment for Tay-Saa's Disease involves using topical creams or ointments, applying moisturizer, avoiding touching the affected areas, using a sunscreen with SPF 15 or higher, and monitoring your skin regularly for signs of infection or worsening symptoms. It is crucial to follow the instructions on the prescription medication bottle carefully and seek medical attention if you experience any severe or unexplained symptoms, such as fever, swelling, or skin bleeding."
177,tinyllama,Tay-Sachs Disease,hasDeficientEnzyme,Which enzyme is deficient in Tay-Sachs Disease?,Hexosaminidase A,"Taylor-Sachs disease (TSD) is caused by mutations in the GATA2 gene that lead to a deficiency of the immune cell differentiation factor GATA2. The specific enzyme deficience due to TSD is unknown, but researchers have identified several enzymes involved in the normal regulation of bone and connective tissue formation."
178,tinyllama,Tay-Sachs Disease,hasSymptom,What symptoms are associated with Tay-Sachs Disease?,Cherry-Red Spot; Progressive Neurodegeneration,"Taeyeon Syndrome (TaS) is a rare disorder that affects the nervous system and can cause a wide variety of symptoms. Some common ones include:

1. Seizures
2. Parkinsonian-like movements or tremors
3. Dystonia (contorted or twisted muscles)
4. Tics (spasms, repeated movements)
5. Abnormal movements of the face and jaw
6. Neurological deficits, such as difficulties with walking or balance
7. Vision problems (blurred vision, double vision, difficulty seeing in one eye)
8. Sudden changes in behavior (such as aggression or fearfulness)
9. Loss of coordination and balance
10. Sleep disturbance (difficulty falling or staying asleep)
11. Psychiatric symptoms (depression, anxiety)
12. Fatigue
13. Loss of appetite
14. Mood swings

TaS can affect people of all ages and genders, but it's more common in adults aged 30 to 50 who have experienced trauma or stressful life events."
179,tinyllama,Tay-Sachs Disease,accumulatesMetabolite,Which metabolite accumulates in Tay-Sachs Disease?,GM2 Ganglioside,"The metabolite that accumulates in Taey-Saach's Disease is likely the fungus Rhizopus oryzae, which is a common cause of rice straw disease in paddy fields."
180,tinyllama,Tay-Sachs Disease,hasCausativeGene,Which gene causes Tay-Sachs Disease?,HEXA,"Taylor-Saachs disease (TSa) is caused by mutations in the TSEN3 gene, also known as MUSLE (Mutations in Ubiquitin Ligase Effector)."
181,tinyllama,Krabbe Disease,hasInheritancePattern,What is the inheritance pattern of Krabbe Disease?,Autosomal Recessive,"Krabbé Disae, a Dutch cheese company, has adopted a modernized and more efficient distribution network model in recent years. The new model includes several changes to the traditional ownership structure that used a cooperative approach to distribute Krabbé Disae worldwide. In summary:

1. The co-op model is replaced by a hybrid model that includes both private equity investors and employees as shareholders in the business.
2. Krabbé Disae partners with its distributors to create a more efficient and cost-effective distribution network worldwide.
3. This new system eliminates the need for significant capital infusions, reducing the cost of doing business.
4. The company expects this hybrid model to become the norm in the future.

This reorganization process has resulted in a new set of partners and shareholders that have a better understanding of the value chain and are more involved in the day-to-day operations of the company."
182,tinyllama,Krabbe Disease,treatedWith,How is Krabbe Disease treated?,Hematopoietic Stem Cell Transplant,"Krabbedise is not a disease, and there is no treatment for Krabbedise. It is a fictional condition invented by the author of the novel, but it has become an integral part of its storyline, which is meant to be taken seriously by readers. Krabbedise is a supernatural occurrence caused by the protagonist's desire to rid his world of humans, and it plays a major role in the novel.

While it may not exist in real life, Krabbedise serves as a cautionary tale about the dangers of people who stray too far from their true nature and the destructive consequences that can ensue when such desires are not tempered by reason or self-reflection."
183,tinyllama,Krabbe Disease,hasDeficientEnzyme,Which enzyme is deficient in Krabbe Disease?,Galactocerebrosidase,Krabby Disease (also known as Salmonellosis) is caused by Salmonella typhimurium. The specific enzyme that is deficient in Krabby Disease is the protease Serratia proteinase 2 (SP2).
184,tinyllama,Krabbe Disease,hasSymptom,What symptoms are associated with Krabbe Disease?,Demyelination; Irritability,"Krabbé Disease is a rare autoimmune condition that primarily affects young children and can cause several symptoms, including:

1. Developmental delays or developmental regression
2. Severe developmental disabilities such as severe delayed speech, delayed motor skills, poor feeding habits, and behavior problems
3. Scalp hypopigmentation (darkening of the scalp)
4. Eczema (inflammation of the skin)
5. Eye abnormalities such as eye papules or macular telangiectasias (reddish spots on the eye surface)
6. Abdominal pain or swelling in the abdomen
7. Neuropsychiatric symptoms including behavioral problems, anxiety, depression, and mood swings
8. Hypothyroidism (underactive thyroid gland), often accompanied by autoimmune thyroiditis (an inflammatory disorder of the thyroid gland) 
9. Increased risk for certain types of cancers such as breast cancer
10. Nephrotic syndrome (severe kidney inflammation)

Krabbé Disease is typically diagnosed by a healthcare professional who specializes in the genetics and developmental disabilities. Treatment depends on the severity of symptoms and will usually involve medication, nutritional support, and therapy to help with communication and motor skills."
185,tinyllama,Krabbe Disease,accumulatesMetabolite,Which metabolite accumulates in Krabbe Disease?,Psychosine,"Krabb Disae (a small deserted town) is the only metabolite that appears in the text ""The Mime's Curse"" (the story that inspired this prompt). Krabb Disae represents a place of death and destruction, with its own set of curses and dangers. It is not explicitly stated when Krabb Disae accumulates, but it likely grows due to the town's abandonment and decrepit conditions over time."
186,tinyllama,Krabbe Disease,hasCausativeGene,Which gene causes Krabbe Disease?,GALC,"Krabbé Disease is caused by the mutation in the gene for the gene that produces the protein, LAT, which is responsible for regulating the activity of the enzyme, SCF. The LAT gene mutation results in a loss-of-function variant that inactivates the gene, causing the phenotype characteristic of Krabbé Disease."
187,tinyllama,Metachromatic Leukodystrophy,hasInheritancePattern,What is the inheritance pattern of Metachromatic Leukodystrophy?,Autosomal Recessive,"Metachromatic Leukodystrophy (MLP) follows a non-monotonic inheritance pattern, which means that the probability of an individual inheriting a trait based on their genetic makeup changes with their genome size. This has important implications for evolutionary biology and genomics. 

In terms of MLP, offspring inherit traits from both their mother (maternal allele) and father (paternal allele), regardless of their own genome size. The trait is inherited in a non-monotonic manner with the maternal allele being more dominant than the paternal allele. 

The inheritance pattern of MLP has important implications for understanding evolutionary biology and genomics, as it suggests that genetic changes can arise from the combination of genetic mutations within an individual and the environment in which they are exposed to. Additionally, MLP is one of several examples of a trait being inherited non-monotonically due to differences in the effectiveness of genome size at influencing genetic inheritance."
188,tinyllama,Metachromatic Leukodystrophy,treatedWith,How is Metachromatic Leukodystrophy treated?,Hematopoietic Stem Cell Transplant,"Metachromatic Leukodystrophy is an uncommon, but potentially life-threatening disease caused by a mutation in the MCL gene. This gene plays a crucial role in regulating chromatin structure and DNA replication. When mutations in this gene occur, they can cause aberrant changes to chromatin structure, which can lead to genetic instability and the development of diseases like cancer and other disorders. Treatment for Metachromatic Leukodystrophy is currently unknown as there are no approved drugs specifically targeting this mutation. However, researchers are investigating potential treatments based on the underlying mechanism of the disease."
189,tinyllama,Metachromatic Leukodystrophy,hasDeficientEnzyme,Which enzyme is deficient in Metachromatic Leukodystrophy?,Arylsulfatase A,"Metachromatic Leukodystrophy (MLD) is not an enzyme, but rather a type of carbohydrate found in some plants. MLD is produced by several species of white-rot fungi and can play a role in various biological processes such as photosynthesis and plant defense against pathogens. However, there is no known deficiency associated with MLD deficiency, and it is not considered an enzyme deficient by the International Union of Biochemistry and Molecular Biology."
190,tinyllama,Metachromatic Leukodystrophy,hasSymptom,What symptoms are associated with Metachromatic Leukodystrophy?,Demyelination; Gait Disturbance,"Metachromatic Leukodystrophy is characterized by the presence of abnormal, yellowish or orange-yellow spots on various body parts, such as skin, mucous membranes (such as mouth and throat), eyes, ears, nose, lungs, blood vessels, and gums. These spots can be itchy, burning or painful to the touch, and they may also cause a dry, cracked or flaky appearance on the skin. In addition, hyperpigmentation, telangiectasias (small, irregular vessels that are visible through the skin), and red, inflamed patches can sometimes occur as well. The exact cause of Metachromatic Leukodystrophy is not known, but it may be caused by a genetic defect or an environmental exposure to a substance such as lead or mercury. Some people with the condition may also experience difficulty in breathing due to their increased airway resistance."
191,tinyllama,Metachromatic Leukodystrophy,accumulatesMetabolite,Which metabolite accumulates in Metachromatic Leukodystrophy?,Sulfatide,"In Metachromatic Leukodystrophy, the metabolite is a non-metabolizable tRNA that plays an essential role in protein synthesis. The accumulation of this tRNA is not specific to any specific species or pathway within this system, but is rather a universal feature of all organisms, including those without DNA and RNA."
192,tinyllama,Metachromatic Leukodystrophy,hasCausativeGene,Which gene causes Metachromatic Leukodystrophy?,ARSA,"Metachromatic Leukodystrophy is caused by mutations in the MCD1 gene. The MCD1 gene encodes a protein that plays a role in regulating the production of cytokines and other signaling molecules in immune cells. Mutations in this gene can lead to abnormalities or deficiencies in these processes, resulting in various autoimmune and inflammatory disorders."
193,tinyllama,Mucopolysaccharidosis Type I (Hurler Syndrome),hasInheritancePattern,What is the inheritance pattern of Mucopolysaccharidosis Type I (Hurler Syndrome)?,Autosomal Recessive,"Mucopolysaccharidosis Type I (Hurlers Syndrome) does not have a defined inheritance pattern or pattern for passing on the disease. The disease is caused by mutations in the SYNPO gene, which produces a protein called synaptotagmin 1 (SynAP1). Mutations in SynAP1 cause defects in neurotransmitter signaling, leading to seizures and epilepsy, along with other symptoms such as developmental delay, learning disabilities, and intellectual impairment. Therefore, there is currently no information available on how genetic mutations can affect the inheritance pattern of this disease."
194,tinyllama,Mucopolysaccharidosis Type I (Hurler Syndrome),treatedWith,How is Mucopolysaccharidosis Type I (Hurler Syndrome) treated?,Enzyme Replacement Therapy,"Mucopolysaccharidosis Type I (Hurlers Syndrome), also known as Hurlers' disease, is a rare genetic disorder characterized by the accumulation of large amounts of polysaccharides in various organs. In individuals with Mucopolysaaccharosis type I (Hurlers Syndrome), treatment usually involves pharmacological interventions to decrease inflammation and reduce the production of large amounts of polysaccharide in various organs.

These interventions may include oral medications, immunosuppressive agents, or surgical procedures such as the removal of affected organs or tissues. In some cases, gene therapy may also be used to correct the genetic mutation associated with Hurlers Syndrome, although this approach has not yet been tested in humans. Overall, treatment for Hurlers Syndrome focuses on reducing inflammation and minimizing the production of polysaccharide, which is believed to play a key role in the disease process."
195,tinyllama,Mucopolysaccharidosis Type I (Hurler Syndrome),hasDeficientEnzyme,Which enzyme is deficient in Mucopolysaccharidosis Type I (Hurler Syndrome)?,Alpha-L-Iduronidase,The enzyme deficient in Mucopolypsaccharidosis Type I (Hurlers Syndrome) is called alpha-L-amino-2-hydroxyglutarate.
196,tinyllama,Mucopolysaccharidosis Type I (Hurler Syndrome),hasSymptom,What symptoms are associated with Mucopolysaccharidosis Type I (Hurler Syndrome)?,Coarse Facial Features; Hepatosplenomegaly,"Mucopolysaccharidosis Type I (Hurlers Syndrome), also known as Muco-synovial disease, is a rare connective tissue disorder characterized by thickening and enlargement of joints. It mainly affects children and young adults between the ages of 6 to 20 years old, and symptoms may include:

1. Joint swelling or tenderness
2. Pain when moving joints
3. Limited range of motion
4. Inflammation
5. Fatty tissue (lymphadenopathy) around the joints
6. Redness, swelling, and warmth under the skin near the affected joint(s)
7. Muscle weakness
8. Decreased bone mass
9. Limited motion in the affected joint(s)
10. Slow or irregular healing of the joint
11. Increased inflammation and pain around the joint(s)

Muco-synovial disease may also cause other symptoms, such as difficulty breathing, headaches, and dizziness, especially in children. It is not contagious or infectious.

Symptomatic treatment of Mucopolysaaccharidosis Type I typically involves medical management. This includes:

1. Rest and gentle exercise
2. Anti-inflammatory drugs (such as ibuprofen, diclofenac)
3. Corticosteroid injections into the affected joint(s)
4. Physical therapy
5. Surgery if symptoms persist or get worse
6. Consultation with a dermatologist to manage any skin changes seen
7. Support groups for patients and families
8. Medications to prevent further joint damage (e.g., NSAIDs)

In rare cases, amputation of the affected joint(s) may be necessary."
