id,model,disease,property,question,ground_truth,prompt,llm_answer
140,tinyllama,Carnitine Palmitoyltransferase II Deficiency,treatedWith,How is Carnitine Palmitoyltransferase II Deficiency treated?,Low-Fat High-Carbohydrate Diet,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Carnitine Palmitoyltransferase II Deficiency
Treatment: Low-Fat High-Carbohydrate Diet
Accumulated Metabolite: Long-Chain Acylcarnitines
Deficient Enzyme: Carnitine Palmitoyltransferase II
Symptoms: Exercise-Induced Myalgia, Rhabdomyolysis
Inheritance Pattern: Autosomal Recessive
Causative Gene: CPT2

=== QUESTION ===
How is Carnitine Palmitoyltransferase II Deficiency treated?

=== ANSWER ===
","Based on the provided knowledge, the treatment for Carnitine Palmitoyltransferase II Deficiency (CPT2) is a low-fat high-carbohydrate diet. The disease is classified as a disaise because it is a deficiency in the enzyme that converts fatty acids into long-chain acidyl-coenzyme A carnitine. The treatments for CPT2 include avoiding excessive fat intake and focusing on high-carbohydrate diets."
141,tinyllama,Carnitine Palmitoyltransferase II Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Carnitine Palmitoyltransferase II Deficiency?,Carnitine Palmitoyltransferase II,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Carnitine Palmitoyltransferase II Deficiency
Treatment: Low-Fat High-Carbohydrate Diet
Accumulated Metabolite: Long-Chain Acylcarnitines
Deficient Enzyme: Carnitine Palmitoyltransferase II
Symptoms: Exercise-Induced Myalgia, Rhabdomyolysis
Inheritance Pattern: Autosomal Recessive
Causative Gene: CPT2

=== QUESTION ===
Which enzyme is deficient in Carnitine Palmitoyltransferase II Deficiency?

=== ANSWER ===
",No external knowledge is necessary for this answer. The given information is the knowledge available to the biochemical assistant based on provided knowledge.
142,tinyllama,Carnitine Palmitoyltransferase II Deficiency,hasSymptom,What symptoms are associated with Carnitine Palmitoyltransferase II Deficiency?,Exercise-Induced Myalgia; Rhabdomyolysis,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Carnitine Palmitoyltransferase II Deficiency
Treatment: Low-Fat High-Carbohydrate Diet
Accumulated Metabolite: Long-Chain Acylcarnitines
Deficient Enzyme: Carnitine Palmitoyltransferase II
Symptoms: Exercise-Induced Myalgia, Rhabdomyolysis
Inheritance Pattern: Autosomal Recessive
Causative Gene: CPT2

=== QUESTION ===
What symptoms are associated with Carnitine Palmitoyltransferase II Deficiency?

=== ANSWER ===
","According to the provided knowledge, Carnitine Palmitoyltransferase II Deficiency is associated with exacerbated symptoms such as exercise-induced myalgia and rhombotomy. The specific auto-somal inherited genes involved are not mentioned."
143,tinyllama,Carnitine Palmitoyltransferase II Deficiency,accumulatesMetabolite,Which metabolite accumulates in Carnitine Palmitoyltransferase II Deficiency?,Long-Chain Acylcarnitines,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Carnitine Palmitoyltransferase II Deficiency
Treatment: Low-Fat High-Carbohydrate Diet
Accumulated Metabolite: Long-Chain Acylcarnitines
Deficient Enzyme: Carnitine Palmitoyltransferase II
Symptoms: Exercise-Induced Myalgia, Rhabdomyolysis
Inheritance Pattern: Autosomal Recessive
Causative Gene: CPT2

=== QUESTION ===
Which metabolite accumulates in Carnitine Palmitoyltransferase II Deficiency?

=== ANSWER ===
",The metabolite that accumulates in Carnitine Palmitoyltransferase II Deficiency is Long-Chain Acylcarnitines.
144,tinyllama,Carnitine Palmitoyltransferase II Deficiency,hasCausativeGene,Which gene causes Carnitine Palmitoyltransferase II Deficiency?,CPT2,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Carnitine Palmitoyltransferase II Deficiency
Treatment: Low-Fat High-Carbohydrate Diet
Accumulated Metabolite: Long-Chain Acylcarnitines
Deficient Enzyme: Carnitine Palmitoyltransferase II
Symptoms: Exercise-Induced Myalgia, Rhabdomyolysis
Inheritance Pattern: Autosomal Recessive
Causative Gene: CPT2

=== QUESTION ===
Which gene causes Carnitine Palmitoyltransferase II Deficiency?

=== ANSWER ===
","No external knowledge is required to answer this question. The gene causing Carnitine Palmitoyltransferase II Deficiency (CPT2) is the CP1 gene, which has been shown in previous studies to be a causative gene for this condition."
145,tinyllama,Primary Carnitine Deficiency,hasInheritancePattern,What is the inheritance pattern of Primary Carnitine Deficiency?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
What is the inheritance pattern of Primary Carnitine Deficiency?

=== ANSWER ===
","The inheritance pattern of Primary Carnitine Deficiency is Autosomal Recessive. Based on provided knowledge, it does not have a specific genetic cause or mutation, and the condition is inherited in an autosomal recessive pattern."
146,tinyllama,Primary Carnitine Deficiency,treatedWith,How is Primary Carnitine Deficiency treated?,Carnitine Supplementation,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
How is Primary Carnitine Deficiency treated?

=== ANSWER ===
","Based on the provided knowledge, the answer to the question ""How is Primary Carnitine Deficiency treated?"" is that it is typically treated with carnitine supplementation. This is because deficiencies in carnitine can lead to various symptoms such as cardiomyoopathy, muscle weakness, and accumulated metabolite. Additionally, genetic inheritance pattern of autosomal receissive suggests that this condition may be triggered by certain genes related to the SLCA22A5 gene. However, specific treatment options for Primary Carnitine Deficiency may vary based on individual factors such as age, medical history, and lifestyle habits."
147,tinyllama,Primary Carnitine Deficiency,hasDeficientEnzyme,Which enzyme is deficient in Primary Carnitine Deficiency?,OCTN2 Carnitine Transporter,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
Which enzyme is deficient in Primary Carnitine Deficiency?

=== ANSWER ===
","Based on the provided knowledge, the enzyme that is deficient in Primary Carnitine Deficiency is OCTN2."
148,tinyllama,Primary Carnitine Deficiency,hasSymptom,What symptoms are associated with Primary Carnitine Deficiency?,Cardiomyopathy; Muscle Weakness,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
What symptoms are associated with Primary Carnitine Deficiency?

=== ANSWER ===
","The answer to the question ""What symptoms are associated with Primary Carnitine Deficiency?"" is Cardiomyoathy and Muscle weakness."
149,tinyllama,Primary Carnitine Deficiency,accumulatesMetabolite,Which metabolite accumulates in Primary Carnitine Deficiency?,Free Carnitine (Deficient),"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
Which metabolite accumulates in Primary Carnitine Deficiency?

=== ANSWER ===
","Answer based on provided knowledge, the question requires you to answer the question based on the given knowledge of biochemistry. The metabolite that accumulates in Primary Carnitine Deficiency is OCTN2 Carnitine Transporter (autosomal recessive)."
150,tinyllama,Primary Carnitine Deficiency,hasCausativeGene,Which gene causes Primary Carnitine Deficiency?,SLC22A5,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Primary Carnitine Deficiency
Treatment: Carnitine Supplementation
Accumulated Metabolite: Free Carnitine (Deficient)
Deficient Enzyme: OCTN2 Carnitine Transporter
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: SLC22A5

=== QUESTION ===
Which gene causes Primary Carnitine Deficiency?

=== ANSWER ===
","Based on the provided knowledge, the gene causing Primary Carnitine Deficiency is the SLCA3 gene."
151,tinyllama,Fabry Disease,hasInheritancePattern,What is the inheritance pattern of Fabry Disease?,X-Linked,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
What is the inheritance pattern of Fabry Disease?

=== ANSWER ===
",The inheritance pattern of Fabry Disease is X-linked.
152,tinyllama,Fabry Disease,treatedWith,How is Fabry Disease treated?,Enzyme Replacement Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
How is Fabry Disease treated?

=== ANSWER ===
","Based on the provided knowledge, Fabry Disease is treated with enzyme replacement therapy (ERT), which uses a patient's own cells to produce a specialized enzyme that can replace the missing one. The treatment can help reduce symptoms such as angiokeratoma and neuropathic pain. Inheritance pattern: X-Linked"
153,tinyllama,Fabry Disease,hasDeficientEnzyme,Which enzyme is deficient in Fabry Disease?,Alpha-Galactosidase A,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
Which enzyme is deficient in Fabry Disease?

=== ANSWER ===
","The answer to the question is ""Alpha-Galaactosiadesis A"" in the provided knowledge."
154,tinyllama,Fabry Disease,hasSymptom,What symptoms are associated with Fabry Disease?,Angiokeratoma; Neuropathic Pain; Renal Failure,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
What symptoms are associated with Fabry Disease?

=== ANSWER ===
","Based on the provided knowledge, the answer to the question is: Symptoms of Fabry Disease include Angiokeratoma, Neuropathic Pain, and RenaL Failure."
155,tinyllama,Fabry Disease,accumulatesMetabolite,Which metabolite accumulates in Fabry Disease?,Globotriaosylceramide,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
Which metabolite accumulates in Fabry Disease?

=== ANSWER ===
","Based on the provided knowledge, the answer is ""Galactose"" (accumulated metabolite)."
156,tinyllama,Fabry Disease,hasCausativeGene,Which gene causes Fabry Disease?,GLA,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Fabry Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Globotriaosylceramide
Deficient Enzyme: Alpha-Galactosidase A
Symptoms: Angiokeratoma, Neuropathic Pain, Renal Failure
Inheritance Pattern: X-Linked
Causative Gene: GLA

=== QUESTION ===
Which gene causes Fabry Disease?

=== ANSWER ===
","No external knowledge was provided to answer this question. The knowledge available only covers the provided list of diseases, disorders, symptoms, and inherited genes that may cause Fabry Disease or any other diseases with similar characteristics."
157,tinyllama,Gaucher Disease,hasInheritancePattern,What is the inheritance pattern of Gaucher Disease?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
What is the inheritance pattern of Gaucher Disease?

=== ANSWER ===
",The inheritance pattern for Gaucher Disease is Autosomal Recessive.
158,tinyllama,Gaucher Disease,treatedWith,How is Gaucher Disease treated?,Enzyme Replacement Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
How is Gaucher Disease treated?

=== ANSWER ===
","Based on the provided knowledge, Gaucher Disease treatment may involve replacing enzymes in the body using enzyme replacement therapy (ERT). Enzyme replacement therapy is a type of biotherapeutic medicine that involves introducing copies of a particular enzyme into the patient's cells to replace an original deficient or damaged enzyme. This allows for normal biochemical function to be restored, thereby mitigating symptoms associated with Gaucher Disease."
159,tinyllama,Gaucher Disease,hasDeficientEnzyme,Which enzyme is deficient in Gaucher Disease?,Beta-Glucocerebrosidase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
Which enzyme is deficient in Gaucher Disease?

=== ANSWER ===
","Based on the given knowledge, the answer to the question is Betahydroxyacid (BHA), which is a deficient enzyme in Gaucheir Disease."
160,tinyllama,Gaucher Disease,hasSymptom,What symptoms are associated with Gaucher Disease?,Bone Crises; Hepatosplenomegaly,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
What symptoms are associated with Gaucher Disease?

=== ANSWER ===
","Based on the provided knowledge, the answer to the question is that Gaucher Disease often causes bone pain and fatigue, which can result in Boné Crises."
161,tinyllama,Gaucher Disease,accumulatesMetabolite,Which metabolite accumulates in Gaucher Disease?,Glucocerebroside,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
Which metabolite accumulates in Gaucher Disease?

=== ANSWER ===
","The answer to the question is ""Beta-Glucocerebroside"" based on the provided knowledge."
162,tinyllama,Gaucher Disease,hasCausativeGene,Which gene causes Gaucher Disease?,GBA,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Gaucher Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glucocerebroside
Deficient Enzyme: Beta-Glucocerebrosidase
Symptoms: Bone Crises, Hepatosplenomegaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: GBA

=== QUESTION ===
Which gene causes Gaucher Disease?

=== ANSWER ===
","Based on the provided knowledge, there is no specific gene that causes Gaucher Disease."
163,tinyllama,Pompe Disease,hasInheritancePattern,What is the inheritance pattern of Pompe Disease?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
What is the inheritance pattern of Pompe Disease?

=== ANSWER ===
","Based on the given knowledge, the inheritance pattern for Pompe Disease is Autosomal Receessive."
164,tinyllama,Pompe Disease,treatedWith,How is Pompe Disease treated?,Enzyme Replacement Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
How is Pompe Disease treated?

=== ANSWER ===
","Based on the provided knowledge, Pompe Disease is treated with enzyme replacement therapy."
165,tinyllama,Pompe Disease,hasDeficientEnzyme,Which enzyme is deficient in Pompe Disease?,Acid Alpha-Glucosidase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
Which enzyme is deficient in Pompe Disease?

=== ANSWER ===
","The question does not provide enough context to answer based on the provided knowledge. Therefore, the answer is ""Unkown""."
166,tinyllama,Pompe Disease,hasSymptom,What symptoms are associated with Pompe Disease?,Cardiomyopathy; Muscle Weakness,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
What symptoms are associated with Pompe Disease?

=== ANSWER ===
",No external knowledge is present to provide the correct answer. It is only based on provided knowledge from the given text material.
167,tinyllama,Pompe Disease,accumulatesMetabolite,Which metabolite accumulates in Pompe Disease?,Glycogen,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
Which metabolite accumulates in Pompe Disease?

=== ANSWER ===
","The answer to the question ""Which metabolite accumulates in Pompe Disease?"" is not present in the provided knowledge."
168,tinyllama,Pompe Disease,hasCausativeGene,Which gene causes Pompe Disease?,GAA,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Pompe Disease
Treatment: Enzyme Replacement Therapy
Accumulated Metabolite: Glycogen
Deficient Enzyme: Acid Alpha-Glucosidase
Symptoms: Cardiomyopathy, Muscle Weakness
Inheritance Pattern: Autosomal Recessive
Causative Gene: GAA

=== QUESTION ===
Which gene causes Pompe Disease?

=== ANSWER ===
","No external knowledge was used to provide the answer. The provided knowledge is based on biomedical text and references, which can be accessed using relevant search terms."
169,tinyllama,Niemann-Pick Disease Type A,hasInheritancePattern,What is the inheritance pattern of Niemann-Pick Disease Type A?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Niemann-Pick Disease Type A
Treatment: Supportive Care
Accumulated Metabolite: Sphingomyelin
Deficient Enzyme: Acid Sphingomyelinase
Symptoms: Hepatosplenomegaly, Progressive Neurodegeneration
Inheritance Pattern: Autosomal Recessive
Causative Gene: SMPD1

=== QUESTION ===
What is the inheritance pattern of Niemann-Pick Disease Type A?

=== ANSWER ===
","Based on the provided knowledge, Niemann-Pike Disasafe Type A is inherited through an autosomal recessive gene, and the inheritance pattern is XY in males and XX in females."
170,tinyllama,Niemann-Pick Disease Type A,treatedWith,How is Niemann-Pick Disease Type A treated?,Supportive Care,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Niemann-Pick Disease Type A
Treatment: Supportive Care
Accumulated Metabolite: Sphingomyelin
Deficient Enzyme: Acid Sphingomyelinase
Symptoms: Hepatosplenomegaly, Progressive Neurodegeneration
Inheritance Pattern: Autosomal Recessive
Causative Gene: SMPD1

=== QUESTION ===
How is Niemann-Pick Disease Type A treated?

=== ANSWER ===
",The answer provided is based on the knowledge mentioned above.
171,tinyllama,Niemann-Pick Disease Type A,hasDeficientEnzyme,Which enzyme is deficient in Niemann-Pick Disease Type A?,Acid Sphingomyelinase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Niemann-Pick Disease Type A
Treatment: Supportive Care
Accumulated Metabolite: Sphingomyelin
Deficient Enzyme: Acid Sphingomyelinase
Symptoms: Hepatosplenomegaly, Progressive Neurodegeneration
Inheritance Pattern: Autosomal Recessive
Causative Gene: SMPD1

=== QUESTION ===
Which enzyme is deficient in Niemann-Pick Disease Type A?

=== ANSWER ===
","The enzyme supporting care for Niemann-Pike Disease Type A is not mentioned in the provided knowledge, and therefore, it cannot be answered using the given information."
172,tinyllama,Niemann-Pick Disease Type A,hasSymptom,What symptoms are associated with Niemann-Pick Disease Type A?,Hepatosplenomegaly; Progressive Neurodegeneration,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Niemann-Pick Disease Type A
Treatment: Supportive Care
Accumulated Metabolite: Sphingomyelin
Deficient Enzyme: Acid Sphingomyelinase
Symptoms: Hepatosplenomegaly, Progressive Neurodegeneration
Inheritance Pattern: Autosomal Recessive
Causative Gene: SMPD1

=== QUESTION ===
What symptoms are associated with Niemann-Pick Disease Type A?

=== ANSWER ===
","Based on the provided knowledge, ""Symptooms: Hepatosplenomegaly, Progressive Neurodegeneration"" is an unspecified symptom associated with Niemann-Pick Disease Type A. The answer is not based on external knowledge."
173,tinyllama,Niemann-Pick Disease Type A,accumulatesMetabolite,Which metabolite accumulates in Niemann-Pick Disease Type A?,Sphingomyelin,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Niemann-Pick Disease Type A
Treatment: Supportive Care
Accumulated Metabolite: Sphingomyelin
Deficient Enzyme: Acid Sphingomyelinase
Symptoms: Hepatosplenomegaly, Progressive Neurodegeneration
Inheritance Pattern: Autosomal Recessive
Causative Gene: SMPD1

=== QUESTION ===
Which metabolite accumulates in Niemann-Pick Disease Type A?

=== ANSWER ===
","Answer: Niemann-Piick Disease Type A is characterized by accumulation of supportive care (accumulated metabolite) that triggers the development of chronic liver disease. The accumulation occurs due to a deficiency in an enzyme, Acid Sphingomyelinase, which leads to the accumulation and subsequent toxic effects of a specific type of lipoprotein known as spongiformeum lipids. This combination of causes is responsible for Niemann-Piick Disease Type A."
